x,y,ar,
-56.400002,-30.299999,-9.6,-2.06378558875378
-56.400002,-30.299999,-9.6,-2.06378558875378
-56.400002,-30.299999,-9.6,-2.06378558875378
-56.400002,-30.299999,-9.6,-2.06378558875378
-56.099998,-30,-9.3,-2.06186323745991
-56.25,-29.85,-9.75,-2.05867523010269
-56.549999,-30.15,-9.45,-2.0606159762382
-57,-30.6,-9.6,-2.06348141496835
-57,-30.299999,-9.6,-2.05938677308075
-57.150002,-29.549999,-10.65,-2.04799886474706
-57.150002,-29.549999,-10.65,-2.04799886474706
-57.150002,-29.549999,-10.65,-2.04799886474706
-57.150002,-29.549999,-10.65,-2.04799886474706
-57.150002,-29.549999,-10.65,-2.04799886474706
-57.150002,-29.549999,-10.65,-2.04799886474706
-57,-30.9,-9.6,-2.06755812070213
-57.450001,-30.75,-9.75,-2.06224315045998
-57.900002,-29.4,-9.9,-2.0406421895815
-56.700001,-30.6,-9.3,-2.0656837618547
-55.950001,-29.25,-10.65,-2.05250785077039
-56.25,-30.450001,-9.45,-2.0669613398517
-56.25,-30.450001,-9.45,-2.0669613398517
-56.25,-30.450001,-9.45,-2.0669613398517
-56.25,-30.450001,-9.45,-2.0669613398517
-56.25,-30.450001,-9.45,-2.0669613398517
-56.25,-30.450001,-9.45,-2.0669613398517
-56.700001,-30,-9.9,-2.0574524197862
-57.75,-30.450001,-8.85,-2.05602333291137
-58.5,-30.6,-10.2,-2.05273457875252
-57.299999,-30.6,-10.5,-2.06129699086363
-57.75,-30.450001,-10.65,-2.05602333291137
-57.150002,-30.15,-10.05,-2.05624731925279
-56.849998,-30.450001,-10.35,-2.06253230857172
-56.849998,-30.450001,-10.35,-2.06253230857172
-56.849998,-30.450001,-10.35,-2.06253230857172
-56.849998,-30.450001,-10.35,-2.06253230857172
-56.849998,-30.450001,-10.35,-2.06253230857172
-56.849998,-30.450001,-10.35,-2.06253230857172
-56.700001,-30.299999,-11.4,-2.06157712893005
-56.700001,-29.1,-10.2,-2.04496985566294
-56.700001,-30.6,-10.5,-2.0656837618547
-57.150002,-28.950001,-9.45,-2.03967948986937
-56.849998,-30.15,-10.05,-2.05842266950139
-56.099998,-30,-11.1,-2.06186323745991
-56.099998,-30,-11.1,-2.06186323745991
-56.099998,-30,-11.1,-2.06186323745991
-56.099998,-30,-11.1,-2.06186323745991
-56.099998,-30,-11.1,-2.06186323745991
-56.099998,-30,-11.1,-2.06186323745991
-57.75,-30.15,-9.45,-2.05194987129565
-56.849998,-30.75,-9.75,-2.06662390750778
-57.150002,-29.85,-10.65,-2.05213198287826
-56.849998,-29.85,-9.15,-2.05429505182384
-56.400002,-29.700001,-9.6,-2.05549345719439
-57.75,-30.75,-10.35,-2.06007934431738
-57.75,-30.75,-10.35,-2.06007934431738
-57.75,-30.75,-10.35,-2.06007934431738
-57.75,-30.75,-10.35,-2.06007934431738
-57.75,-30.75,-10.35,-2.06007934431738
-57.75,-30.75,-10.35,-2.06007934431738
-57.75,-30.75,-10.35,-2.06007934431738
-57.900002,-30.299999,-10.2,-2.05292229741898
-57.599998,-30,-10.5,-2.05097137062398
-56.700001,-30.6,-9,-2.0656837618547
-57.450001,-30.450001,-10.35,-2.05817529630625
-56.099998,-30.6,-10.5,-2.07014306346191
-57.75,-31.049999,-9.45,-2.06411791167615
-57,-30.299999,-11.4,-2.05938677308075
-57,-30.299999,-11.4,-2.05938677308075
-57,-30.299999,-11.4,-2.05938677308075
-57,-30.299999,-11.4,-2.05938677308075
-57,-30.299999,-11.4,-2.05938677308075
-57,-30.299999,-11.4,-2.05938677308075
-58.650002,-31.049999,-10.65,-2.05769553118744
-58.349998,-30.15,-10.35,-2.04772202535421
-58.049999,-30.15,-10.35,-2.04982734462262
