x,y,ar
-35.400002,12.9,6.3
-36.599998,9.9,5.7
-36.599998,9.9,5.7
-35.400002,9.6,6.6
-34.199997,9,6.6
-35.550003,7.95,5.55
-35.550003,7.95,5.55
-34.800003,8.4,5.1
-34.800003,8.4,5.1
-34.800003,5.7,5.1
-34.800003,5.7,5.1
-35.099998,4.5,6
-35.099998,4.5,6
-33.900002,3,5.1
-34.800003,4.5,5.4
-34.349998,4.65,5.85
-35.400002,4.8,5.7
-33.599998,2.1,4.8
-34.349998,1.95,4.65
-34.349998,1.95,4.65
-34.349998,2.25,5.55
-34.349998,2.25,5.55
-34.5,2.7,5.7
-34.5,2.7,5.7
-35.400002,1.8,5.4
-35.400002,1.8,5.4
-34.199997,-0.6,5.1
-34.5,0.6,4.2
-33.150002,-0.45,4.65
-35.550003,0.45,4.35
-33.300003,-0.9,4.5
-34.949997,0.15,5.25
-34.949997,0.15,5.25
-34.800003,-1.2,4.2
-34.800003,-1.2,4.2
-34.650002,-3.45,4.65
-34.650002,-3.45,4.65
-34.5,-5.7,4.2
-34.5,-5.7,4.2
-34.5,-5.7,4.2
-33,-5.1,3.6
-33,-5.1,3.6
-33.300003,-6.6,3
-33.300003,-6.6,3
-31.949997,-9.45,2.85
-31.949997,-9.45,2.85
-32.550003,-9.75,3.75
-32.400002,-9.6,3
-32.400002,-9.6,3
-31.050003,-10.95,2.25
-30.900002,-10.5,1.8
-31.349998,-11.25,1.95
-30.599998,-11.1,2.4
-31.050003,-11.55,2.85
-30.150002,-12.15,1.95
-30.449997,-12.45,1.35
-30,-12.6,1.8
-28.800003,-13.8,2.1
-30.150002,-13.05,2.25
-28.5,-12.9,1.2
-28.5,-12.9,1.2
-28.349998,-16.049999,0.75
-28.349998,-15.45,0.15
-28.349998,-15.45,0.15
-29.25,-16.65,1.65
-29.25,-16.65,1.65
-29.25,-16.65,1.65
-28.800003,-15.9,1.5
-28.800003,-15.9,1.5
-28.800003,-15.9,1.5
-27.75,-16.65,-0.45
-27.75,-16.65,-0.75
-27.75,-16.65,-0.75
-26.550003,-17.85,1.35
-26.550003,-17.549999,0.75
-26.400002,-18,0.6
-25.5,-19.200001,-0.6
-25.5,-18.6,0
-25.949997,-19.65,-1.05
-25.949997,-19.65,-1.05
-24.75,-19.35,-0.75
-24.75,-19.35,0.15
-24.75,-19.049999,0.15
-23.550003,-19.65,-0.45
-24.900002,-21,-0.9
